population,Tube_ID,treatment,Leaf_Mass_g,Avg_Leaf_Mass_g,Leaf_Area_cm2,SLA
5,B2,nondrought,0.003,0.00052,0.05,96.15
5,B3,nondrought,0.003,0.00052,0.04,76.92
5,B4,nondrought,0.003,0.00054,0.03,55.56
5,B5,nondrought,0.003,0.00054,0.05,92.59
5,B6,nondrought,0.003,0.00054,0.04,74.07
5,B7,nondrought,0.003,0.00054,0.05,92.59
5,C1,nondrought,0.003,0.00054,0.09,166.67
5,C2,nondrought,NA,NA,NA,NA
5,C3,nondrought,0.004,0.00086,0.08,93.02
5,C4,nondrought,0.004,0.00086,0.05,58.14
5,C5,nondrought,0.004,0.00086,0.08,93.02
5,C6,nondrought,0.004,0.00086,0.07,81.40
5,C7,nondrought,NA,NA,NA,NA
5,D1,nondrought,NA,NA,NA,NA
5,D2,nondrought,0.004,0.00086,0.11,127.91
5,D3,nondrought,0.003,0.00066,0.08,121.21
5,D4,nondrought,0.003,0.00066,0.06,90.91
5,D5,nondrought,0.003,0.00066,0.01,15.15
5,D6,nondrought,NA,NA,NA,NA
5,D7,nondrought,0.003,0.00066,0.08,121.21
5,E1,nondrought,0.003,0.00066,0.08,121.21
5,E2,nondrought,NA,NA,NA,NA
5,E3,nondrought,0.004,0.00078,0.06,76.92
5,E4,nondrought,0.004,0.00078,0.06,76.92
5,E5,nondrought,0.004,0.00078,0.03,38.46
5,E6,nondrought,0.004,0.00078,0.1,128.21
5,E7,nondrought,0.004,0.00078,0.07,89.74
5,F1,nondrought,0.002,0.0006,0.02,33.33
5,F2,nondrought,NA,NA,NA,NA
5,F3,nondrought,0.002,0.0006,0.05,83.33
5,F4,nondrought,0.002,0.0006,0.08,133.33
5,F5,nondrought,0.002,0.0006,0.07,116.67
5,F6,nondrought,0.004,0.0009,0.07,77.78
5,F7,nondrought,0.004,0.0009,0.07,77.78
5,G1,nondrought,0.004,0.0009,0.1,111.11
5,G2,nondrought,0.004,0.0009,0.13,144.44
6,A1,nondrought,0.005,0.00108,0.06,55.56
6,A2,nondrought,0.005,0.00108,0.04,37.04
6,A3,nondrought,0.005,0.00108,0.14,129.63
6,A4,nondrought,0.005,0.00108,0.03,27.78
6,A5,nondrought,0.005,0.00108,0.08,74.07
6,A6,nondrought,0.004,0.00084,0.05,59.52
6,A7,nondrought,0.004,0.00084,0.08,95.24
6,B1,nondrought,0.004,0.00084,0.06,71.43
6,B2,nondrought,0.004,0.00084,0.04,47.62
6,B3,nondrought,0.004,0.00084,0.04,47.62
6,B4,nondrought,0.005,0.00106,0.05,47.17
6,B5,nondrought,0.005,0.00106,0.02,18.87
6,B6,nondrought,0.005,0.00106,0.11,103.77
6,B7,nondrought,0.005,0.00106,0.12,113.21
6,C1,nondrought,0.005,0.00106,0.01,9.43
6,C2,nondrought,0.005,0.00098,0.06,61.22
6,C3,nondrought,0.005,0.00098,0.07,71.43
6,C4,nondrought,0.005,0.00098,0.04,40.82
6,C5,nondrought,0.005,0.00098,0.08,81.63
6,C6,nondrought,0.005,0.00098,0.12,122.45
6,C7,nondrought,0.007,0.0013,0.08,61.54
6,D1,nondrought,0.007,0.0013,0.06,46.15
6,D2,nondrought,0.007,0.0013,0.11,84.62
6,D3,nondrought,0.007,0.0013,0.09,69.23
6,D4,nondrought,0.007,0.0013,0.05,38.46
6,D5,nondrought,0.005,0.00096,0.04,41.67
6,D6,nondrought,0.005,0.00096,0.05,52.08
6,D7,nondrought,0.005,0.00096,0.05,52.08
6,E1,nondrought,0.005,0.00096,0.07,72.92
6,E2,nondrought,0.005,0.00096,0.07,72.92
6,E3,nondrought,0.007,0.0014,0.05,35.71
6,E4,nondrought,0.007,0.0014,0.09,64.29
6,E5,nondrought,0.007,0.0014,0.11,78.57
6,E6,nondrought,0.007,0.0014,0.11,78.57
6,E7,nondrought,0.007,0.0014,0.07,50.00
6,F1,nondrought,0.008,0.0015,0.04,26.67
6,F2,nondrought,0.008,0.0015,0.08,53.33
6,F3,nondrought,0.008,0.0015,0.13,86.67
6,F4,nondrought,0.008,0.0015,0.06,40.00
6,F5,nondrought,0.008,0.0015,0.12,80.00
6,F6,nondrought,0.004,0.001025,0.14,136.59
6,F7,nondrought,0.004,0.001025,0.07,68.29
6,G1,nondrought,0.004,0.001025,0.04,39.02
6,G2,nondrought,0.004,0.001025,0.04,39.02
7,A1,nondrought,0.004,0.00076,0.15,197.37
7,A2,nondrought,0.004,0.00076,0.12,157.89
7,A3,nondrought,0.004,0.00076,0.11,144.74
7,A4,nondrought,0.004,0.00076,0.12,157.89
7,A5,nondrought,0.004,0.00076,0.09,118.42
7,A6,nondrought,0.004,0.00078,0.1,128.21
7,A7,nondrought,0.004,0.00078,0.1,128.21
7,B1,nondrought,0.004,0.00078,0.09,115.38
7,B2,nondrought,0.004,0.00078,0.1,128.21
7,B3,nondrought,0.004,0.00078,0.07,89.74
7,B4,nondrought,0.005,0.00092,0.06,65.22
7,B5,nondrought,0.005,0.00092,0.1,108.70
7,B6,nondrought,0.005,0.00092,0.14,152.17
7,B7,nondrought,0.005,0.00092,0.1,108.70
7,C1,nondrought,0.005,0.00092,0.1,108.70
7,C2,nondrought,0.004,0.00074,0.09,121.62
7,C3,nondrought,0.004,0.00074,0.04,54.05
7,C4,nondrought,0.004,0.00074,0.07,94.59
7,C5,nondrought,0.004,0.00074,0.09,121.62
7,C6,nondrought,0.004,0.00074,0.08,108.11
7,C7,nondrought,0.003,0.00066,0.13,196.97
7,D1,nondrought,0.003,0.00066,0.09,136.36
7,D2,nondrought,0.003,0.00066,0.09,136.36
7,D3,nondrought,0.003,0.00066,0.09,136.36
7,D4,nondrought,0.003,0.00066,0.11,166.67
7,D5,nondrought,0.004,0.00074,0.1,135.14
7,D6,nondrought,0.004,0.00074,0.08,108.11
7,D7,nondrought,0.004,0.00074,0.06,81.08
7,E1,nondrought,0.004,0.00074,0.1,135.14
7,E2,nondrought,0.004,0.00074,0.12,162.16
7,E3,nondrought,0.004,0.00086,0.07,81.40
7,E4,nondrought,0.004,0.00086,0.11,127.91
7,E5,nondrought,0.004,0.00086,0.11,127.91
7,E6,nondrought,0.004,0.00086,0.08,93.02
7,E7,nondrought,0.004,0.00086,0.08,93.02
7,F1,nondrought,0.003,0.0006,0.08,133.33
7,F2,nondrought,0.003,0.0006,0.14,233.33
7,F3,nondrought,0.003,0.0006,0.07,116.67
7,F4,nondrought,0.003,0.0006,0.09,150.00
7,F5,nondrought,0.003,0.0006,0.04,66.67
7,F6,nondrought,0.003,0.000825,0.12,145.45
7,F7,nondrought,0.003,0.000825,0.09,109.09
7,G1,nondrought,0.003,0.000825,0.11,133.33
7,G2,nondrought,0.003,0.000825,0.1,121.21
8,A1,nondrought,0.005,0.00106,0.11,103.77
8,A2,nondrought,0.005,0.00106,0.1,94.34
8,A3,nondrought,0.005,0.00106,0.1,94.34
8,A4,nondrought,0.005,0.00106,0.12,113.21
8,A5,nondrought,0.005,0.00106,0.09,84.91
8,A6,nondrought,0.005,0.001,0.11,110.00
8,A7,nondrought,0.005,0.001,0.08,80.00
8,B1,nondrought,0.005,0.001,0.1,100.00
8,B2,nondrought,0.005,0.001,0.07,70.00
8,B3,nondrought,0.005,0.001,0.09,90.00
8,B4,nondrought,0.005,0.00102,0.12,117.65
8,B5,nondrought,0.005,0.00102,0.13,127.45
8,B6,nondrought,0.005,0.00102,0.1,98.04
8,B7,nondrought,0.005,0.00102,0.04,39.22
8,C1,nondrought,0.005,0.00102,0.09,88.24
8,C2,nondrought,0.007,0.00144,0.14,97.22
8,C3,nondrought,0.007,0.00144,0.17,118.06
8,C4,nondrought,0.007,0.00144,0.13,90.28
8,C5,nondrought,0.007,0.00144,0.19,131.94
8,C6,nondrought,0.007,0.00144,0.11,76.39
8,C7,nondrought,0.006,0.00124,0.12,96.77
8,D1,nondrought,0.006,0.00124,0.07,56.45
8,D2,nondrought,0.006,0.00124,0.17,137.10
8,D3,nondrought,0.006,0.00124,0.05,40.32
8,D4,nondrought,0.006,0.00124,0.19,153.23
8,D5,nondrought,0.006,0.00128,0.18,140.63
8,D6,nondrought,0.006,0.00128,0.06,46.88
8,D7,nondrought,0.006,0.00128,0.08,62.50
8,E1,nondrought,0.006,0.00128,0.12,93.75
8,E2,nondrought,0.006,0.00128,0.14,109.38
8,E3,nondrought,0.006,0.0011,0.04,36.36
8,E4,nondrought,0.006,0.0011,0.08,72.73
8,E5,nondrought,0.006,0.0011,0.14,127.27
8,E6,nondrought,0.006,0.0011,0.09,81.82
8,E7,nondrought,0.006,0.0011,0.15,136.36
8,F1,nondrought,0.006,0.0011,0.12,109.09
8,F2,nondrought,0.006,0.0011,0.06,54.55
8,F3,nondrought,0.006,0.0011,0.12,109.09
8,F4,nondrought,0.006,0.0011,0.08,72.73
8,F5,nondrought,0.006,0.0011,0.1,90.91
8,F6,nondrought,0.004,0.001025,0.14,136.59
8,F7,nondrought,0.004,0.001025,0.08,78.05
8,G1,nondrought,0.004,0.001025,0.03,29.27
8,G2,nondrought,0.004,0.001025,0.14,136.59
9,A1,nondrought,0.006,0.00124,0.06,48.39
9,A2,nondrought,0.006,0.00124,0.15,120.97
9,A3,nondrought,0.006,0.00124,0.14,112.90
9,A4,nondrought,0.006,0.00124,0.08,64.52
9,A5,nondrought,0.006,0.00124,0.14,112.90
9,A6,nondrought,0.007,0.00148,0.17,114.86
9,A7,nondrought,0.007,0.00148,0.11,74.32
9,B1,nondrought,0.007,0.00148,0.13,87.84
9,B2,nondrought,NA,NA,NA,NA
9,B3,nondrought,NA,NA,NA,NA
9,B4,nondrought,0.007,0.00148,0.12,81.08
9,B5,nondrought,0.007,0.00148,0.19,128.38
9,B6,nondrought,0.007,0.00134,0.15,111.94
9,B7,nondrought,0.007,0.00134,0.12,89.55
9,C1,nondrought,0.007,0.00134,0.13,97.01
9,C2,nondrought,NA,NA,NA,NA
9,C3,nondrought,0.007,0.00134,0.15,111.94
9,C4,nondrought,0.007,0.00134,0.14,104.48
9,C5,nondrought,0.006,0.00114,0.07,61.40
9,C6,nondrought,0.006,0.00114,0.09,78.95
9,C7,nondrought,0.006,0.00114,0.13,114.04
9,D1,nondrought,0.006,0.00114,0.13,114.04
9,D2,nondrought,0.006,0.00114,0.09,78.95
9,D3,nondrought,0.006,0.00118,0.16,135.59
9,D4,nondrought,0.006,0.00118,0.1,84.75
9,D5,nondrought,0.006,0.00118,0.06,50.85
9,D6,nondrought,0.006,0.00118,0.08,67.80
9,D7,nondrought,0.006,0.00118,0.13,110.17
9,E1,nondrought,0.006,0.00122,0.12,98.36
9,E2,nondrought,0.006,0.00122,0.07,57.38
9,E3,nondrought,0.006,0.00122,0.09,73.77
9,E4,nondrought,0.006,0.00122,0.13,106.56
9,E5,nondrought,0.006,0.00122,0.1,81.97
9,E6,nondrought,0.007,0.00144,0.18,125.00
9,E7,nondrought,0.007,0.00144,0.13,90.28
9,F1,nondrought,0.007,0.00144,0.1,69.44
9,F2,nondrought,0.007,0.00144,0.12,83.33
9,F3,nondrought,0.007,0.00144,0.17,118.06
9,F4,nondrought,0.005,0.001225,0.08,65.31
9,F5,nondrought,NA,NA,NA,NA
9,F6,nondrought,0.005,0.001225,0.08,65.31
9,F7,nondrought,0.005,0.001225,0.14,114.29
9,G1,nondrought,NA,NA,NA,NA
9,G2,nondrought,0.005,0.001225,0.12,97.96
10,A1,nondrought,0.005,0.00104,0.09,86.54
10,A2,nondrought,0.005,0.00104,0.08,76.92
10,A3,nondrought,0.005,0.00104,0.05,48.08
10,A4,nondrought,NA,NA,NA,NA
10,A5,nondrought,0.005,0.00104,0.06,57.69
10,A6,nondrought,NA,NA,NA,NA
10,A7,nondrought,NA,NA,NA,NA
10,B1,nondrought,NA,NA,NA,NA
10,B2,nondrought,NA,NA,NA,NA
10,B3,nondrought,0.005,0.00104,0.22,211.54
10,B4,nondrought,0.003,0.00058,0.06,103.45
10,B5,nondrought,0.003,0.00058,0.08,137.93
10,B6,nondrought,0.003,0.00058,0.04,68.97
10,B7,nondrought,NA,NA,NA,NA
10,C1,nondrought,0.003,0.00058,0.04,68.97
10,C2,nondrought,NA,NA,NA,NA
10,C3,nondrought,NA,NA,NA,NA
10,C4,nondrought,0.003,0.00058,0.04,68.97
10,C5,nondrought,NA,NA,NA,NA
10,C6,nondrought,0.004,0.0007,0.04,57.14
10,C7,nondrought,0.004,0.0007,0.08,114.29
10,D1,nondrought,0.004,0.0007,0.09,128.57
10,D2,nondrought,NA,NA,NA,NA
10,D3,nondrought,NA,NA,NA,NA
10,D4,nondrought,NA,NA,NA,NA
10,D5,nondrought,0.004,0.0007,0.13,185.71
10,D6,nondrought,0.004,0.0007,0.03,42.86
10,D7,nondrought,NA,NA,NA,NA
10,E1,nondrought,NA,NA,NA,NA
10,E2,nondrought,0.003,0.00054,0.06,111.11
10,E3,nondrought,NA,NA,NA,NA
10,E4,nondrought,0.003,0.00054,0.05,92.59
10,E5,nondrought,NA,NA,NA,NA
10,E6,nondrought,0.003,0.00054,0.02,37.04
10,E7,nondrought,NA,NA,NA,NA
10,F1,nondrought,0.003,0.00054,0.02,37.04
10,F2,nondrought,NA,NA,NA,NA
10,F3,nondrought,0.003,0.00054,0.05,92.59
10,F4,nondrought,NA,NA,NA,NA
10,F5,nondrought,0.002,0.0006,0.06,100.00
10,F6,nondrought,0.002,0.0006,0.05,83.33
10,F7,nondrought,0.002,0.0006,0.03,50.00
10,G1,nondrought,0.002,0.0006,0.08,133.33
10,G2,nondrought,NA,NA,NA,NA
11,A1,nondrought,0.004,0.0008,0.12,150.00
11,A2,nondrought,0.004,0.0008,0.06,75.00
11,A3,nondrought,0.004,0.0008,0.1,125.00
11,A4,nondrought,0.004,0.0008,0.11,137.50
11,A5,nondrought,0.004,0.0008,0.07,87.50
11,A6,nondrought,0.006,0.0011,0.08,72.73
11,A7,nondrought,0.006,0.0011,0.15,136.36
11,B1,nondrought,0.006,0.0011,0.1,90.91
11,B2,nondrought,0.006,0.0011,0.16,145.45
11,B3,nondrought,NA,NA,NA,NA
11,B4,nondrought,NA,NA,NA,NA
11,B5,nondrought,NA,NA,NA,NA
11,B6,nondrought,0.006,0.0011,0.11,100.00
11,B7,nondrought,0.009,0.0018,0.11,61.11
11,C1,nondrought,0.009,0.0018,0.08,44.44
11,C2,nondrought,0.009,0.0018,0.09,50.00
11,C3,nondrought,0.009,0.0018,0.63,350.00
11,C4,nondrought,0.009,0.0018,0.09,50.00
11,C5,nondrought,0.005,0.00104,0.16,153.85
11,C6,nondrought,NA,NA,NA,NA
11,C7,nondrought,0.005,0.00104,0.09,86.54
11,D1,nondrought,0.005,0.00104,0.12,115.38
11,D2,nondrought,0.005,0.00104,0.07,67.31
11,D3,nondrought,0.005,0.00104,0.12,115.38
11,D4,nondrought,0.005,0.00098,0.11,112.24
11,D5,nondrought,NA,NA,NA,NA
11,D6,nondrought,NA,NA,NA,NA
11,D7,nondrought,NA,NA,NA,NA
11,E1,nondrought,0.005,0.00098,0.07,71.43
11,E2,nondrought,0.005,0.00098,0.08,81.63
11,E3,nondrought,0.005,0.00098,0.1,102.04
11,E4,nondrought,NA,NA,NA,NA
11,E5,nondrought,0.005,0.00098,0.2,204.08
11,E6,nondrought,0.008,0.00154,0.09,58.44
11,E7,nondrought,NA,NA,NA,NA
11,F1,nondrought,NA,NA,NA,NA
11,F2,nondrought,0.008,0.00154,0.1,64.94
11,F3,nondrought,NA,NA,NA,NA
11,F4,nondrought,0.008,0.00154,0.12,77.92
11,F5,nondrought,NA,NA,NA,NA
11,F6,nondrought,NA,NA,NA,NA
11,F7,nondrought,NA,NA,NA,NA
11,G1,nondrought,0.008,0.00154,0.42,272.73
11,G2,nondrought,0.008,0.00154,0.17,110.39
12,A1,nondrought,0.005,0.00102,0.12,117.65
12,A2,nondrought,0.005,0.00102,0.09,88.24
12,A3,nondrought,0.005,0.00102,0.06,58.82
12,A4,nondrought,0.005,0.00102,0.09,88.24
12,A5,nondrought,0.005,0.00102,0.1,98.04
12,A6,nondrought,0.004,0.00088,0.08,90.91
12,A7,nondrought,0.004,0.00088,0.09,102.27
12,B1,nondrought,0.004,0.00088,0.05,56.82
12,B2,nondrought,0.004,0.00088,0.01,11.36
12,B3,nondrought,0.004,0.00088,0.09,102.27
12,B4,nondrought,0.003,0.00068,0.05,73.53
12,B5,nondrought,0.003,0.00068,0.05,73.53
12,B6,nondrought,0.003,0.00068,0.07,102.94
12,B7,nondrought,0.003,0.00068,0.11,161.76
12,C1,nondrought,0.003,0.00068,0.05,73.53
12,C2,nondrought,0.004,0.0008,0.09,112.50
12,C3,nondrought,0.004,0.0008,0.06,75.00
12,C4,nondrought,0.004,0.0008,0.08,100.00
12,C5,nondrought,0.004,0.0008,0.07,87.50
12,C6,nondrought,0.004,0.0008,0.06,75.00
12,C7,nondrought,0.004,0.00078,0.07,89.74
12,D1,nondrought,0.004,0.00078,0.03,38.46
12,D2,nondrought,0.004,0.00078,0.04,51.28
12,D3,nondrought,0.004,0.00078,0.08,102.56
12,D4,nondrought,0.004,0.00078,0.1,128.21
12,D5,nondrought,0.004,0.00078,0.07,89.74
12,D6,nondrought,0.004,0.00078,0.12,153.85
12,D7,nondrought,0.004,0.00078,0.05,64.10
12,E1,nondrought,0.004,0.00078,0.06,76.92
12,E2,nondrought,0.004,0.00078,0.04,51.28
12,E3,nondrought,0.004,0.0008,0.06,75.00
12,E4,nondrought,0.004,0.0008,0.05,62.50
12,E5,nondrought,NA,NA,NA,NA
12,E6,nondrought,0.004,0.0008,0.12,150.00
12,E7,nondrought,NA,NA,NA,NA
12,F1,nondrought,0.004,0.0008,0.07,87.50
12,F2,nondrought,0.004,0.0008,0.1,125.00
12,F3,nondrought,0.004,0.0007,0.07,100.00
12,F4,nondrought,0.004,0.0007,0.09,128.57
12,F5,nondrought,NA,NA,NA,NA
12,F6,nondrought,0.004,0.0007,0.07,100.00
12,F7,nondrought,0.004,0.0007,0.06,85.71
12,G1,nondrought,0.004,0.0007,0.06,NA
12,G2,nondrought,NA,NA,NA,NA